acc	assay_type	consent	experiment	instrument	platform	sample_acc	biosample	organism	sra_study	releasedate	bioproject	mbytes	mbases	access	taxid
DRR077057	AMPLICON	public	DRX070901	454 GS FLX Titanium	LS454	DRS079765	SAMD00066967	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077058	AMPLICON	public	DRX070902	454 GS FLX Titanium	LS454	DRS079766	SAMD00066968	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077059	AMPLICON	public	DRX070903	454 GS FLX Titanium	LS454	DRS079767	SAMD00066969	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077060	AMPLICON	public	DRX070904	454 GS FLX Titanium	LS454	DRS079768	SAMD00066970	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077061	AMPLICON	public	DRX070905	454 GS FLX Titanium	LS454	DRS079769	SAMD00066971	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077062	AMPLICON	public	DRX070906	454 GS FLX Titanium	LS454	DRS079770	SAMD00066972	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077063	AMPLICON	public	DRX070907	454 GS FLX Titanium	LS454	DRS079771	SAMD00066973	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077064	AMPLICON	public	DRX070908	454 GS FLX Titanium	LS454	DRS079772	SAMD00066974	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077065	AMPLICON	public	DRX070909	454 GS FLX Titanium	LS454	DRS079773	SAMD00066975	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077066	AMPLICON	public	DRX070910	454 GS FLX Titanium	LS454	DRS079774	SAMD00066976	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077067	AMPLICON	public	DRX070911	454 GS FLX Titanium	LS454	DRS079775	SAMD00066977	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077068	AMPLICON	public	DRX070912	454 GS FLX Titanium	LS454	DRS079776	SAMD00066978	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077069	AMPLICON	public	DRX070913	454 GS FLX Titanium	LS454	DRS079777	SAMD00066979	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077070	AMPLICON	public	DRX070914	454 GS FLX Titanium	LS454	DRS079778	SAMD00066980	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077071	AMPLICON	public	DRX070915	454 GS FLX Titanium	LS454	DRS079779	SAMD00066981	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077072	AMPLICON	public	DRX070916	454 GS FLX Titanium	LS454	DRS079780	SAMD00066982	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077073	AMPLICON	public	DRX070917	454 GS FLX Titanium	LS454	DRS079781	SAMD00066983	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077074	AMPLICON	public	DRX070918	454 GS FLX Titanium	LS454	DRS079782	SAMD00066984	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077075	AMPLICON	public	DRX070919	454 GS FLX Titanium	LS454	DRS079783	SAMD00066985	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077076	AMPLICON	public	DRX070920	454 GS FLX Titanium	LS454	DRS079784	SAMD00066986	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077077	AMPLICON	public	DRX070921	454 GS FLX Titanium	LS454	DRS079785	SAMD00066987	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077078	AMPLICON	public	DRX070922	454 GS FLX Titanium	LS454	DRS079786	SAMD00066988	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077079	AMPLICON	public	DRX070923	454 GS FLX Titanium	LS454	DRS079787	SAMD00066989	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077080	AMPLICON	public	DRX070924	454 GS FLX Titanium	LS454	DRS079788	SAMD00066990	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077081	AMPLICON	public	DRX070925	454 GS FLX Titanium	LS454	DRS079789	SAMD00066991	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077082	AMPLICON	public	DRX070926	454 GS FLX Titanium	LS454	DRS079790	SAMD00066992	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077083	AMPLICON	public	DRX070927	454 GS FLX Titanium	LS454	DRS079791	SAMD00066993	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077084	AMPLICON	public	DRX070928	454 GS FLX Titanium	LS454	DRS079792	SAMD00066994	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077085	AMPLICON	public	DRX070929	454 GS FLX Titanium	LS454	DRS079793	SAMD00066995	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077086	AMPLICON	public	DRX070930	454 GS FLX Titanium	LS454	DRS079794	SAMD00066996	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077087	AMPLICON	public	DRX070931	454 GS FLX Titanium	LS454	DRS079795	SAMD00066997	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077088	AMPLICON	public	DRX070932	454 GS FLX Titanium	LS454	DRS079796	SAMD00066998	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077089	AMPLICON	public	DRX070933	454 GS FLX Titanium	LS454	DRS079797	SAMD00066999	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077090	AMPLICON	public	DRX070934	454 GS FLX Titanium	LS454	DRS079798	SAMD00067000	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077091	AMPLICON	public	DRX070935	454 GS FLX Titanium	LS454	DRS079799	SAMD00067001	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077092	AMPLICON	public	DRX070936	454 GS FLX Titanium	LS454	DRS079800	SAMD00067002	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077093	AMPLICON	public	DRX070937	454 GS FLX Titanium	LS454	DRS079801	SAMD00067003	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077094	AMPLICON	public	DRX070938	454 GS FLX Titanium	LS454	DRS079802	SAMD00067004	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077095	AMPLICON	public	DRX070939	454 GS FLX Titanium	LS454	DRS079803	SAMD00067005	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077096	AMPLICON	public	DRX070940	454 GS FLX Titanium	LS454	DRS079804	SAMD00067006	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077097	AMPLICON	public	DRX070941	454 GS FLX Titanium	LS454	DRS079805	SAMD00067007	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077098	AMPLICON	public	DRX070942	454 GS FLX Titanium	LS454	DRS079806	SAMD00067008	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077099	AMPLICON	public	DRX070943	454 GS FLX Titanium	LS454	DRS079807	SAMD00067009	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077100	AMPLICON	public	DRX070944	454 GS FLX Titanium	LS454	DRS079808	SAMD00067010	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077101	AMPLICON	public	DRX070945	454 GS FLX Titanium	LS454	DRS079809	SAMD00067011	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077102	AMPLICON	public	DRX070946	454 GS FLX Titanium	LS454	DRS079810	SAMD00067012	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077103	AMPLICON	public	DRX070947	454 GS FLX Titanium	LS454	DRS079811	SAMD00067013	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077104	AMPLICON	public	DRX070948	454 GS FLX Titanium	LS454	DRS079812	SAMD00067014	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077105	AMPLICON	public	DRX070949	454 GS FLX Titanium	LS454	DRS079813	SAMD00067015	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077106	AMPLICON	public	DRX070950	454 GS FLX Titanium	LS454	DRS079814	SAMD00067016	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077107	AMPLICON	public	DRX070951	454 GS FLX Titanium	LS454	DRS079815	SAMD00067017	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077108	AMPLICON	public	DRX070952	454 GS FLX Titanium	LS454	DRS079816	SAMD00067018	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077109	AMPLICON	public	DRX070953	454 GS FLX Titanium	LS454	DRS079817	SAMD00067019	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077110	AMPLICON	public	DRX070954	454 GS FLX Titanium	LS454	DRS079818	SAMD00067020	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077111	AMPLICON	public	DRX070955	454 GS FLX Titanium	LS454	DRS079819	SAMD00067021	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077112	AMPLICON	public	DRX070956	454 GS FLX Titanium	LS454	DRS079820	SAMD00067022	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077113	AMPLICON	public	DRX070957	454 GS FLX Titanium	LS454	DRS079821	SAMD00067023	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077114	AMPLICON	public	DRX070958	454 GS FLX Titanium	LS454	DRS079822	SAMD00067024	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077115	AMPLICON	public	DRX070959	454 GS FLX Titanium	LS454	DRS079823	SAMD00067025	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077116	AMPLICON	public	DRX070960	454 GS FLX Titanium	LS454	DRS079824	SAMD00067026	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077117	AMPLICON	public	DRX070961	454 GS FLX Titanium	LS454	DRS079825	SAMD00067027	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077118	AMPLICON	public	DRX070962	454 GS FLX Titanium	LS454	DRS079826	SAMD00067028	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077119	AMPLICON	public	DRX070963	454 GS FLX Titanium	LS454	DRS079827	SAMD00067029	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077120	AMPLICON	public	DRX070964	454 GS FLX Titanium	LS454	DRS079828	SAMD00067030	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077121	AMPLICON	public	DRX070965	454 GS FLX Titanium	LS454	DRS079829	SAMD00067031	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077122	AMPLICON	public	DRX070966	454 GS FLX Titanium	LS454	DRS079830	SAMD00067032	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077123	AMPLICON	public	DRX070967	454 GS FLX Titanium	LS454	DRS079831	SAMD00067033	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077124	AMPLICON	public	DRX070968	454 GS FLX Titanium	LS454	DRS079832	SAMD00067034	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077125	AMPLICON	public	DRX070969	454 GS FLX Titanium	LS454	DRS079833	SAMD00067035	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077126	AMPLICON	public	DRX070970	454 GS FLX Titanium	LS454	DRS079834	SAMD00067036	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077127	AMPLICON	public	DRX070971	454 GS FLX Titanium	LS454	DRS079835	SAMD00067037	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077128	AMPLICON	public	DRX070972	454 GS FLX Titanium	LS454	DRS079836	SAMD00067038	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077129	AMPLICON	public	DRX070973	454 GS FLX Titanium	LS454	DRS079837	SAMD00067039	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077130	AMPLICON	public	DRX070974	454 GS FLX Titanium	LS454	DRS079838	SAMD00067040	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077131	AMPLICON	public	DRX070975	454 GS FLX Titanium	LS454	DRS079839	SAMD00067041	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077132	AMPLICON	public	DRX070976	454 GS FLX Titanium	LS454	DRS079840	SAMD00067042	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077133	AMPLICON	public	DRX070977	454 GS FLX Titanium	LS454	DRS079841	SAMD00067043	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077134	AMPLICON	public	DRX070978	454 GS FLX Titanium	LS454	DRS079842	SAMD00067044	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077135	AMPLICON	public	DRX070979	454 GS FLX Titanium	LS454	DRS079843	SAMD00067045	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077136	AMPLICON	public	DRX070980	454 GS FLX Titanium	LS454	DRS079844	SAMD00067046	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077137	AMPLICON	public	DRX070981	454 GS FLX Titanium	LS454	DRS079845	SAMD00067047	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077138	AMPLICON	public	DRX070982	454 GS FLX Titanium	LS454	DRS079846	SAMD00067048	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077139	AMPLICON	public	DRX070983	454 GS FLX Titanium	LS454	DRS079847	SAMD00067049	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077140	AMPLICON	public	DRX070984	454 GS FLX Titanium	LS454	DRS079848	SAMD00067050	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077141	AMPLICON	public	DRX070985	454 GS FLX Titanium	LS454	DRS079849	SAMD00067051	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077142	AMPLICON	public	DRX070986	454 GS FLX Titanium	LS454	DRS079850	SAMD00067052	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077143	AMPLICON	public	DRX070987	454 GS FLX Titanium	LS454	DRS079851	SAMD00067053	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077144	AMPLICON	public	DRX070988	454 GS FLX Titanium	LS454	DRS079852	SAMD00067054	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077145	AMPLICON	public	DRX070989	454 GS FLX Titanium	LS454	DRS079853	SAMD00067055	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077146	AMPLICON	public	DRX070990	454 GS FLX Titanium	LS454	DRS079854	SAMD00067056	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077147	AMPLICON	public	DRX070991	454 GS FLX Titanium	LS454	DRS079855	SAMD00067057	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077148	AMPLICON	public	DRX070992	454 GS FLX Titanium	LS454	DRS079856	SAMD00067058	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077149	AMPLICON	public	DRX070993	454 GS FLX Titanium	LS454	DRS079857	SAMD00067059	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077150	AMPLICON	public	DRX070994	454 GS FLX Titanium	LS454	DRS079858	SAMD00067060	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077151	AMPLICON	public	DRX070995	454 GS FLX Titanium	LS454	DRS079859	SAMD00067061	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077152	AMPLICON	public	DRX070996	454 GS FLX Titanium	LS454	DRS079860	SAMD00067062	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077153	AMPLICON	public	DRX070997	454 GS FLX Titanium	LS454	DRS079861	SAMD00067063	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077154	AMPLICON	public	DRX070998	454 GS FLX Titanium	LS454	DRS079862	SAMD00067064	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077155	AMPLICON	public	DRX070999	454 GS FLX Titanium	LS454	DRS079863	SAMD00067065	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077156	AMPLICON	public	DRX071000	454 GS FLX Titanium	LS454	DRS079864	SAMD00067066	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077157	AMPLICON	public	DRX071001	454 GS FLX Titanium	LS454	DRS079865	SAMD00067067	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077158	AMPLICON	public	DRX071002	454 GS FLX Titanium	LS454	DRS079866	SAMD00067068	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077159	AMPLICON	public	DRX071003	454 GS FLX Titanium	LS454	DRS079867	SAMD00067069	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077160	AMPLICON	public	DRX071004	454 GS FLX Titanium	LS454	DRS079868	SAMD00067070	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR182502	WGS	public	DRX173008	Illumina MiSeq	ILLUMINA	DRS163922	SAMD00175805	Tetragenococcus koreensis	DRP006750	2020-12-02 00:00:00 UTC	PRJDB8432	452	888	public	290335.0
ERR208893	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	ERS198498	SAMEA1574063	Mus musculus	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	178	268	public	10090.0
ERR208895	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	ERS198496	SAMEA1574060	Mus musculus	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	106	140	public	10090.0
ERR208898	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	SRS024887	SAMN00009845	human gut metagenome	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	54	80	public	408170.0
ERR208899	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	SRS024887	SAMN00009845	human gut metagenome	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	174	256	public	408170.0
ERR208900	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	ERS198495	SAMEA1574057	Mus musculus	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	328	463	public	10090.0
ERR208901	OTHER	public	ERX183566	Illumina Genome Analyzer II	ILLUMINA	ERS198491	SAMEA1574061	Mus musculus	ERP002048	2013-02-16 00:00:00 UTC	PRJEB1199	123	229	public	10090.0
ERR2244954	AMPLICON	public	ERX2296977	Illumina MiSeq	ILLUMINA	ERS2086967	SAMEA104469025	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	6	12	public	7955.0
ERR2244960	AMPLICON	public	ERX2296983	Illumina MiSeq	ILLUMINA	ERS2086973	SAMEA104469031	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	3	7	public	7955.0
ERR2244962	AMPLICON	public	ERX2296985	Illumina MiSeq	ILLUMINA	ERS2086975	SAMEA104469033	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	9	18	public	7955.0
ERR2244963	AMPLICON	public	ERX2296986	Illumina MiSeq	ILLUMINA	ERS2086976	SAMEA104469034	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	7	15	public	7955.0
ERR2244964	AMPLICON	public	ERX2296987	Illumina MiSeq	ILLUMINA	ERS2086977	SAMEA104469035	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	7	15	public	7955.0
ERR2244965	AMPLICON	public	ERX2296988	Illumina MiSeq	ILLUMINA	ERS2086978	SAMEA104469036	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	11	23	public	7955.0
ERR2244966	AMPLICON	public	ERX2296989	Illumina MiSeq	ILLUMINA	ERS2086979	SAMEA104469037	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	17	34	public	7955.0
ERR2244967	AMPLICON	public	ERX2296990	Illumina MiSeq	ILLUMINA	ERS2086980	SAMEA104469038	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	8	16	public	7955.0
ERR2244968	AMPLICON	public	ERX2296991	Illumina MiSeq	ILLUMINA	ERS2086981	SAMEA104469039	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	8	15	public	7955.0
ERR2244969	AMPLICON	public	ERX2296992	Illumina MiSeq	ILLUMINA	ERS2086982	SAMEA104469040	Danio rerio	ERP106224	2018-01-16 00:00:00 UTC	PRJEB24402	2	5	public	7955.0
ERR2888321	AMPLICON	public	ERX2893246	NextSeq 500	ILLUMINA	ERS2867618	SAMEA5056443	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	35	60	public	496924.0
ERR2888322	AMPLICON	public	ERX2893247	NextSeq 500	ILLUMINA	ERS2867619	SAMEA5056444	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	30	50	public	496924.0
ERR2888323	AMPLICON	public	ERX2893248	NextSeq 500	ILLUMINA	ERS2867620	SAMEA5056445	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	49	77	public	496924.0
ERR2888324	AMPLICON	public	ERX2893249	NextSeq 500	ILLUMINA	ERS2867621	SAMEA5056446	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	27	42	public	496924.0
ERR2888325	AMPLICON	public	ERX2893250	NextSeq 500	ILLUMINA	ERS2867622	SAMEA5056447	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	30	47	public	496924.0
ERR2888326	AMPLICON	public	ERX2893251	NextSeq 500	ILLUMINA	ERS2867623	SAMEA5056448	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	40	63	public	496924.0
ERR2888327	AMPLICON	public	ERX2893252	NextSeq 500	ILLUMINA	ERS2867624	SAMEA5056449	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	22	37	public	496924.0
ERR2888328	AMPLICON	public	ERX2893253	NextSeq 500	ILLUMINA	ERS2867625	SAMEA5056450	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	22	38	public	496924.0
ERR2888329	AMPLICON	public	ERX2893254	NextSeq 500	ILLUMINA	ERS2867626	SAMEA5056451	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	25	44	public	496924.0
ERR2888330	AMPLICON	public	ERX2893255	NextSeq 500	ILLUMINA	ERS2867627	SAMEA5056452	fish metagenome	ERP111751	2020-01-09 00:00:00 UTC	PRJEB29449	14	25	public	496924.0
ERR3224479	AMPLICON	public	ERX3251931	Illumina MiSeq	ILLUMINA	ERS3229956	SAMEA5424668	Homo sapiens	ERP114316	2019-03-21 00:00:00 UTC	PRJEB31726	14	25	public	9606.0
ERR3224480	AMPLICON	public	ERX3251932	Illumina MiSeq	ILLUMINA	ERS3229943	SAMEA5424655	Homo sapiens	ERP114316	2019-03-21 00:00:00 UTC	PRJEB31726	12	21	public	9606.0
ERR3224481	AMPLICON	public	ERX3251933	Illumina MiSeq	ILLUMINA	ERS3229940	SAMEA5424652	Homo sapiens	ERP114316	2019-03-21 00:00:00 UTC	PRJEB31726	25	44	public	9606.0
ERR3224482	AMPLICON	public	ERX3251934	Illumina MiSeq	ILLUMINA	ERS3229961	SAMEA5424673	Homo sapiens	ERP114316	2019-03-21 00:00:00 UTC	PRJEB31726	17	28	public	9606.0
ERR3224483	AMPLICON	public	ERX3251935	Illumina MiSeq	ILLUMINA	ERS3229948	SAMEA5424660	Homo sapiens	ERP114316	2019-03-21 00:00:00 UTC	PRJEB31726	18	32	public	9606.0
